Hiz,Kinetic_Energy,Potential_Energy,Ruzgar_Direnci_Hesabi,Ruzgar_Direnci_Degeri,Fren_Kuvvet_Degeri,Delta_t_Degeri
200.69633622590104,30813449.82149244,7504650.0,14175.89877620994,1417589.877620994,12457.719,3189.64408325
200.69633622590104,36049722.34017743,7901955.0,14987.571365380332,1498757.1365380331,15277.113,2975.06698266
200.69633622590104,42595062.98853367,12448890.0,20723.555468180206,2072355.5468180205,19295.7795,2960.04152283
200.69633622590104,29202289.04651244,7823475.0,14092.017718362547,1409201.7718362547,11237.355,3420.28580732
200.69633622590104,51154354.6056149,11960352.0,19731.785313631586,1973178.5313631587,22924.008,2839.28906049
292.32548956171894,65372456.76333646,7504650.0,30074.961914288295,3007496.1914288295,12457.719,6091.37218096
292.32548956171894,76481501.70351128,7901955.0,31796.970697755205,3179697.0697755204,15277.113,5731.65582877
292.32548956171894,90367807.87872982,12448890.0,43966.18170553805,4396618.170553805,19295.7795,5556.30914259
292.32548956171894,61954289.08943652,7823475.0,29897.003559765886,2989700.3559765886,11237.355,6475.49752103
292.32548956171894,108526824.0,11960352.0,41862.08586677302,4186208.586677302,22924.008,5438.55089533
130.23559644106777,12975402.59397591,7504650.0,5969.406048928584,596940.6048928584,12457.719,1691.88221366
130.23559644106777,15180372.96942279,7901955.0,6311.197658761076,631119.7658761076,15277.113,1552.22048402
130.23559644106777,17936585.9387314,12448890.0,8726.59429359556,872659.4293595561,19295.7795,1619.94675406
130.23559644106777,12296950.17076148,7823475.0,5934.084119644984,593408.4119644983,11237.355,1843.30152271
130.23559644106777,21540864.43705804,11960352.0,8308.964423830632,830896.4423830631,22924.008,1497.64879158
95.06981523324471,6914276.37288972,7504650.0,3180.95125799443,318095.125799443,12457.719,1182.96306882
95.06981523324471,8089251.44279254,7901955.0,3363.083691666579,336308.3691666579,15277.113,1068.75656493
95.06981523324471,9557970.28017108,12448890.0,4650.189795884651,465018.9795884651,19295.7795,1164.60074908
95.06981523324471,6552745.58215038,7823475.0,3162.129061201564,316212.9061201564,11237.355,1307.46367702
95.06981523324471,11478602.60597377,11960352.0,4427.644998510173,442764.49985101726,22924.008,1041.77764664
